country,year,growth
Canada,1967,3.044694234961942
Canada,1968,5.227035253005674
Canada,1969,5.271463475935612
Canada,1970,2.583591979553579
Canada,1971,5.5689093392547795
Canada,1972,5.283815333906761
Canada,1973,7.161344803202052
Canada,1974,4.0848751986059195
Canada,1975,2.2592697459129507
Canada,1976,5.476887702433864
Canada,1977,3.3606587781445985
Canada,1978,4.043948156634314
Canada,1979,4.156871693367359
Canada,1980,1.3381359839617302
Canada,1981,1.5475053130300953
Canada,1982,0.12499351992121266
Canada,1983,3.8668937136369985
Canada,1984,5.894103680837737
Canada,1985,5.354029513501457
Canada,1986,4.037552314584203
Canada,1987,1.7800135204994572
Canada,1988,-0.17284882526092948
Canada,1989,0.9975585490313632
Canada,1990,1.9275140029590965
Canada,1991,3.1046289614814704
Canada,1992,3.523104981478098
Canada,1993,2.7866370789358497
Canada,1994,5.051384341567955
Canada,1995,4.18634907398121
Canada,1996,5.099766335906386
Canada,1997,5.392640347045452
Canada,1998,2.682783490774221
Canada,1999,2.0257705900823764
Canada,2000,3.2535679946216867
Canada,2001,1.99015413560657
Canada,2002,1.5020556300010979
Canada,2003,1.0135240342473484
Canada,2004,3.864126364179432
Canada,2005,2.7392074428743918
Canada,2006,2.2808885419912883
Canada,2007,3.1340917857372697
Canada,2008,2.132130298447965
Canada,2009,-1.9066760919030923
Denmark,1946,15.603644646924831
Denmark,1947,5.615763546798025
Denmark,1948,2.7052238805970186
Denmark,1949,6.902815622161662
Denmark,1950,7.9458545282729
Denmark,1951,0.6677008160787645
Denmark,1952,0.9781589173254668
Denmark,1953,5.689357749469215
Denmark,1954,1.9429360620232927
Denmark,1955,1.0776525648131141
Denmark,1956,1.209333495796261
Denmark,1957,7.587659894657639
Denmark,1958,2.2520002238012538
Denmark,1959,7.438920959754869
Denmark,1960,2.7934810287751466
Denmark,1961,6.339336586815958
Denmark,1962,5.518799794996032
Denmark,1963,0.6270007727122273
Denmark,1964,9.355185502095264
Denmark,1965,4.562325702706493
Denmark,1966,2.728476312911332
Denmark,1967,3.3620351519453084
Denmark,1968,4.109217730714332
Denmark,1969,6.370090083835245
Denmark,1970,2.0250314116476043
Denmark,1971,2.666176188343683
Denmark,1972,5.276440622517176
Denmark,1973,3.6313593181212855
Denmark,1974,-0.9324308887365795
Denmark,1975,-0.6601421179319389
Denmark,1976,6.472628081426568
Denmark,1977,1.6230138181025255
Denmark,1978,1.476405669612335
Denmark,1979,3.544149906176486
Denmark,1980,-0.44157435295318903
Denmark,1981,-0.8869038202351964
Denmark,1982,3.713982744135347
Denmark,1983,2.651857242559985
Denmark,1984,4.165577098972251
Denmark,1985,4.024434464868487
Denmark,1986,4.949240892588036
Denmark,1987,0.28993683117541913
Denmark,1988,-0.14266410958233555
