Coutnry_short,countrycode,Region,Unifed_party_code,Q10_PTV,Q13_left_right ,Q24_EU,Party_name_questionnaire,English name,Q7_EES,Q7,Q7n,Q2,Q2_EES,Q2n,Q9_Q25_EES,Q9,Q9n,q25,Q25n
CZ,1203,,6,Q10_6,Q13_6,Q24_6,Pirátská strana (Piráti),Czech Pirate Party,1203901,607,6,606,1203901,6,1203901,607,6,608,6
CZ,1203,,7,Q10_7,Q13_7,Q24_7,Strana p?ímé demokracie Tomio Okamura (SPD),Freedom and Direct Democracy Tomio Okamura,1203951,608,7,607,1203951,7,1203951,608,7,609,7
CZ,1203,,8,Q10_8,Q13_8,Q24_8,Tradice Odpov?dnost Prosperita 09  (TOP 09),"Tradition, Responsibility, Prosperity 09 (TOP 09)",1203530,602,8,,,,1203530,602,8,603,8
,,,,,,,Starostové a nezávislí (STAN),Mayors and Independents,,,,,,,20,609,20,610,20
,,,,,,,,,,,,,,,,,,,
DE,1276,,1,Q10_1,Q13_1,Q24_1,1 CDU/CSU ,Christian Democratic Union / Christian Social Union ,1276521,801,1,801,1276521,1,1276521,801,1,802,1
DE,1276,,2,Q10_2,Q13_2,Q24_2,2 SPD,Sozialdemokratische Partei Deutschlands (SPD),1276320,802,2,802,1276320,2,1276320,802,2,803,2
DE,1276,,3,Q10_3,Q13_3,Q24_3,3 FDP,Free Democratic Party,1276420,805,3,803,1276420,3,1276420,803,3,806,3
DE,1276,,4,Q10_4,Q13_4,Q24_4,4 Die Grünen,Alliance 90 / The Greens,1276113,803,4,804,1276113,4,1276113,804,4,804,4
DE,1276,,5,Q10_5,Q13_5,Q24_5,5 Die Linke,The Left,1276321,804,5,805,1276321,5,1276321,805,5,805,5
DE,1276,,6,Q10_6,Q13_6,Q24_6,6 AFD,Alternative for Germany,1276621,807,6,806,1276621,6,1276621,806,6,808,6
DE,1276,,7,Q10_7,Q13_7,Q24_7,7 Piraten,Pirates,1276951,806,7,807,1276951,7,1276951,807,7,807,7
,,,,,,,Familien-Partei,Family Party of Germany,20,808,20,,,,,,,,
,,,,,,,Freie Wähler,Free Voters,20,809,20,,,,,,,,
,,,,,,,NPD,National Democratic Party of Germany,20,810,20,,,20,20,808,,,
,,,,,,,ÖDP,Ecological Democratic Party,20,811,20,,,,,,,,
,,,,,,,Tierschutzpartei,Human Environmental Animal Protection,20,812,20,,,,,,,,
,,,,,,,Die Partei,THE PARTY,20,813,20,,,,,,,,
,,,,,,,Die Republikaner,The Republicans,,,,,,20,20,809,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DK,1208,,1,Q10_1,Q13_1,Q24_1,Socialdemokraterne,Social Democratic Party,1208320,701,1,701,1208320,1,1208320,701,1,702,1
DK,1208,,2,Q10_2,Q13_2,Q24_2,Venstre,Liberals,1208420,702,2,702,1208420,2,1208420,702,2,703,2
DK,1208,,3,Q10_3,Q13_3,Q24_3,Dansk Folkeparti ,Danish People's Party,1208720,703,3,703,1208720,3,1208720,703,3,704,3
DK,1208,,4,Q10_4,Q13_4,Q24_4,Radikale Venstre,Radical Party,1208410,704,4,704,1208410,4,1208410,704,4,705,4
DK,1208,,5,Q10_5,Q13_5,Q24_5,Socialistisk Folkeparti ,Socialist People's Party,1208330,705,5,705,1208330,5,1208330,705,5,706,5
DK,1208,,6,Q10_6,Q13_6,Q24_6,Enhedslisten,Red-Green Unity List,1208220,706,6,706,1208220,6,1208220,706,6,707,6
DK,1208,,7,Q10_7,Q13_7,Q24_7,Det Konservative Folkeparti,Conservative People's Party,1208620,707,7,707,1208620,7,1208620,708,7,709,7
DK,1208,,,,,,Liberal Alliance,Liberal Alliance,1208421,708,20,,,20,1208421,707,20,708,20
DK,1208,,,,,,Folkebevægelsen mod EU,People's Movement against the EU,1208954,709,20,,,20,,,,,
DK,1208,,,,,,Kristendemokraterne,,,,,,,,20,709,20,710,20
,,,,,,,Alternativet,,`,,,,,,20,710,20,711,20
,,,,,,,,,,,,,,,,,,,
EE,1233,,1,Q10_1,Q13_1,Q24_1,Eesti Reformierakond (Reform),Estonian Reform Party,1233430,901,1,901,1233430,1,1233430,901,1,902,1
EE,1233,,2,Q10_2,Q13_2,Q24_2,Eesti Keskerakond (Kesk),Estonian Center Party,1233411,902,2,902,1233411,2,1233411,902,2,903,2
EE,1233,,3,Q10_3,Q13_3,Q24_3,Eesti Konservatiivne Rahvaerakond (EKRE),Conservative People's Party of Estonia,1233751,903,3,903,1233810,3,1233810,903,3,904,3
EE,1233,,4,Q10_4,Q13_4,Q24_4,Isamaa Erakond (Isamaa),Union for the Republic -- Res Publica,1233613,904,4,904,1233613,4,1233613,904,4,905,4
EE,1233,,5,Q10_5,Q13_5,Q24_5,Sotsiaaldemokraatlik Erakond (SDE),Social Democratic Party,1233410,905,5,905,1233410,5,1233410,905,5,906,5
EE,1233,,6,Q10_6,Q13_6,Q24_6,Erakond Eesti 200 (Eesti 200),Estonia 200,1233420,906,6,906,1233420,6,1233420,906,6,907,6
EE,1233,,7,Q10_7,Q13_7,Q24_7,Erakond Eestimaa Rohelised (Rohelised),Estonian Greens,1233100,907,7,907,1233100,7,1233100,907,7,908,7
EE,1233,,,,,,Elurikkuse Erakond (EE),Richness of Life,20,908,20,,,,20,908,20,909,20
EE,1233,,,,,,Eestimaa Ühendatud Vasakpartei (EÜV),Estonian United People's Party,20,909,20,,,,20,910,20,911,20
EE,1233,,,,,,üksikkandidaat (sõltumatu kandidaat),"Independent ,Raimond Kaljulaid",20,910,20,,,,,,,,
EE,1233,,,,,,Eesti Vabaerakond (EV),Free Party,,,,,,,20,909,20,910,20
EE,1233,,,,,,üksikkandidaat (sõltumatu kandidaat),Independent candidates,,,,,,,20,911,20,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
FI,1246,,1,Q10_1,Q13_1,Q24_1,Suomen Sosialidemokraattinen Puolue (SDP),Finnish Social Democrats,1246320,1001,1,1001,1246320,1,1246320,1001,1,1002,1
FI,1246,,2,Q10_2,Q13_2,Q24_2,Perussuomalaiset (Perus/PS),True Finns,1246820,1002,2,1002,1246820,2,1246820,1002,2,1003,2
