Coutnry_short,countrycode,Region,Unifed_party_code,Q10_PTV,Q13_left_right ,Q24_EU,Party_name_questionnaire,English name,Q7_EES,Q7,Q7n,Q2,Q2_EES,Q2n,Q9_Q25_EES,Q9,Q9n,q25,Q25n
SE,1752,,7,Q10_7,Q13_7,Q24_7,Kristdemokraterna (KD),Christian Democrats,1752520,2706,7,2707,1752520,7,1752520,2706,7,2707,7
SE,1752,,8,Q10_8,Q13_8,Q24_8,Vänsterpartiet (VP),Left Party,1752220,2701,8,2708,1752220,8,1752220,2701,8,2702,8
SE,1752,,9,,,,Feministiskt initiativ (FI),Feminist Initiative,1752953,2709,9,2709,1752953,9,1752953,2709,9,2710,9
,,,,,,,,,,,,,,,,,,,
UK,1826,,1,Q10_1,Q13_1,Q24_1,Conservative  (Con),Conservative Party,1826620,2801,1,2801,1826620,1,1826620,2801,1,2802,1
UK,1826,,2,Q10_2,Q13_2,Q24_2,Labour Party (Lab),Labour Party,1826320,2802,2,2802,1826320,2,1826320,2802,2,2803,2
UK,1826,,3,Q10_3,Q13_3,Q24_3,Liberal Democrats (LD),Liberal Democrats,1826421,2803,3,2803,1826421,3,1826421,2803,3,2804,3
UK,1826,,4,Q10_4,Q13_4,Q24_4,Green Party (GP),Green Party,1826110,2804,4,2804,1826110,4,1826110,2804,4,2805,4
UK,1826,,5,Q10_5,Q13_5,Q24_5,Scottish National Party (SNP),Scottish National Party,1826902,2805,5,2805,1826902,5,1826902,2805,5,2806,5
UK,1826,,6,Q10_6,Q13_6,Q24_6,United Kingdom Independence Party (UKIP),United Kingdom Independence Party,1826951,2806,6,2806,1826951,6,1826951,2806,6,2807,6
UK,1826,,7,Q10_7,Q13_7,Q24_7,The Brexit Party,The Brexit Party,1826955,2807,7,2807,1826955,7,1826955,,,2808,7
UK,1826,,8,,,,Change UK – The Independent Group,Change UK – The Independent Group,1826957,2808,8,2808,1826957,8,,,,,
UK,1826,,,,,,Plaid Cymru (Plaid),Party of Wales,1826901,2809,20,,,,1826901,2809,20,,20
UK,1826,,,,,,Sinn Féin (SF),Sinn Fein,1826210,2810,20,,,,1826210,2810,20,,20
UK,1826,,,,,,Democratic Unionist Party (DUP),Democratic Unionist Party,1826903,2811,20,,,,1826903,2811,20,,20
UK,1826,,,,,,Ulster Unionist Party,Ulster Unionist Party,20,2812,20,,,,20,2812,20,,20
UK,1826,,,,,,Social Democratic & Labour Party (SDLP),Social Democratic & Labour Party,1826724,2813,20,,,,1826724,2813,20,,20
UK,1826,,,,,,Independent,Independent,20,2814,20,,,,20,2814,20,,20
