respid	cps21_province	cps21_weight_general_restricted	ban_abortion	age	female	urban	religion	education
"R_0PAZiulK6ISQ4eZ"	"Ontario"	.8471103		38	0			"MA+"
"R_0PMkjF66AnxrhbH"	"Ontario"	.4029644		78	0		"Somewhat important"	"BA"
"R_0PPJWMtvFb6MewV"	"Quebec"	1.901206		40	1			"HS"
"R_0PzaDxIT3pHGp2h"	"Quebec"	1.788458	0	53	0	1	"Not very important"	"HS"
"R_0SNYrcOEZIV7ErL"	"Quebec"	.2613597	0	79	0	1		"MA+"
"R_0SS6bswRLKXJTAl"	"British Columbia"	.9148147		65	0		"Not very important"	"Some PS"
"R_0STOxLQFigBcysN"	"Alberta"	.6695687		33	1		"Not very important"	"BA"
"R_0SXXvwtloW0x68N"	"Ontario"	.6656307		38	1		"Somewhat important"	"BA"
"R_0Sz2c9hQaUxK4OB"	"Quebec"	.5494294	0	45	0	1	"Not important at all"	"BA"
"R_0Szb0lMjwdISQQp"	"Alberta"	1.788656	0	62	1	1	"Somewhat important"	"HS"
"R_0TICKp83rj4m43T"	"Ontario"	1.394389	0	69	1	0	"Somewhat important"	"HS"
"R_0TKDCzNx1IiWabf"	"Ontario"	.8471103	0	44	0	1	"Somewhat important"	"MA+"
"R_0TjCXc0pGW0GYtb"	"Alberta"	1.451235	0	43	0	1		"College"
"R_0TkZ1gDlyWHMkhj"	"Quebec"	.5260664	0	21	1	1		"BA"
"R_0U4TvHmLlUYbm81"	"Quebec"	.9043904	0	66	1	0	"Somewhat important"	"HS"
"R_0U66vu0nciqXR6x"	"Ontario"	1.299434	0	59	0	1	"Somewhat important"	"College"
"R_0U7Q441TH5hd9Bf"	"Alberta"	1.072706		50	0		"Not very important"	"College"
"R_0U89oAPKZhjRJgR"	"Quebec"	.4061206	1	64	0	1	"Not important at all"	"BA"
"R_0UIE4naLwPnmi1b"	"Ontario"	1.299434	0	61	0	1	"Very important"	"College"
"R_0USO4IHBUCRcgHn"	"Ontario"	1.381353	0	47	1	0		"Some PS"
"R_0UhKeOBQwodTzUZ"	"Manitoba"	1.38833	0	37	0	0		"College"
"R_0VOMzY9cELjNLwJ"	"Ontario"	.6261567	0	58	0	0		"BA"
"R_0VShg4aSpoeEcTf"	"Quebec"	1.40531	0	59	1	1	"Not important at all"	"HS"
"R_0VTTPLv1v7U3929"	"Alberta"	1.464931	1	65	0	0	"Not very important"	"Less than HS"
"R_0VWzvZIni7mABDb"	"Ontario"	1.563376	0	88	0	1		"MA+"
"R_0Varie1eJ3lyPHr"	"Saskatchewan"	.3560061	0	79	1	1	"Somewhat important"	"BA"
"R_0Vd0p2HbqcU3RzX"	"British Columbia"	.8872862	0	28	1	0		"Some PS"
"R_0Vz1BSy1NmSQRZn"	"Quebec"	2.316672	0	34	1	0	"Not important at all"	"HS"
"R_0cAtUv26URy0CGJ"	"British Columbia"	.7281626		39	1			"MA+"
"R_0cDhwqTXM7C8TbH"	"Quebec"	.5494294		46	0			"MA+"
"R_0cWZBgabZFjvsd3"	"Quebec"	.6694947		29	0		"Somewhat important"	"BA"
"R_0cZkLlVDqrfVYUF"	"Ontario"	1.299434	0	56	0	0	"Somewhat important"	"College"
"R_0cw9NrW5a6ZDwgV"	"Ontario"	1.032227		21	0			"Some PS"
"R_0diR6RGexFbSe0p"	"Alberta"	.6695687		24	1		"Somewhat important"	"Some PS"
"R_0e0i66JlcE5FiYp"	"Ontario"	2.166708		55	1		"Not very important"	"HS"
"R_0eqlyUxzQxqsE6Z"	"British Columbia"	.5382345		53	1			"BA"
"R_0ezfzLXsulx8Q3T"	"Alberta"	.5169035	1	51	0	1	"Not very important"	"BA"
"R_0f9JAPFZxajbBHr"	"Quebec"	.4317231	0	43	1	1		"MA+"
"R_0fGp8sByiSU8ddn"	"Saskatchewan"	.9402328	1	74	0	0	"Somewhat important"	"Some PS"
"R_0fuiMnZB6Kr5luh"	"Ontario"	.8471103	1	43	0	1	"Not important at all"	"MA+"
"R_0fupzLuERlcH9lL"	"Quebec"	1.389372	0	24	0	1		"College"
"R_0iA5zk0ZtLV7rIB"	"Quebec"	.2053677		73	1		"Not very important"	"MA+"
"R_0iA9qwvVAP6T1vz"	"Ontario"	.8110893		23	1			"BA"
"R_0iAyf11kd0DaYFP"	"British Columbia"	1.941269	0	75	0	0		"HS"
"R_0iBrgvhRFP0Qy8V"	"British Columbia"	.9266911		35	0		"Very important"	"Some PS"
"R_0iJngJ324vZGgDv"	"Ontario"	.6261567	0	52	0	1	"Not important at all"	"BA"
"R_0iTbUsGmUwnG1SV"	"Quebec"	.5260664	0	20	1	0	"Not very important"	"BA"
"R_0igcimawBHqXvdD"	"Ontario"	.8110893	1	31	1	0	"Not very important"	"MA+"
"R_0jIfVPQR0ieHMkh"	"Alberta"	2.948621	1	31	1	1		"HS"
"R_0jheAzpphDAmnQd"	"Ontario"	.8110893	0	28	1	1		"BA"
"R_0joua4uQ3XgK1Db"	"Ontario"	.8110893	1	27	1	1	"Very important"	"BA"
"R_0k4otYmIDeACdBT"	"Ontario"	1.032227		26	0		"Somewhat important"	"BA"
"R_0k7RpF8yeD6BZUl"	"Quebec"	.5423879	0	66	0	1		"College"
"R_0kPMg3y06WuKf6h"	"Ontario"	.8110893		29	1		"Very important"	"BA"
"R_0kU95Crl1NRUXm1"	"Quebec"	.8428035		60	0		"Not important at all"	"College"
"R_0ksgHwXPQTQdbQR"	"Ontario"	.3166359	0	74	1	1	"Not very important"	"Some PS"
"R_0kxZT02kf5QtTl7"	"Alberta"	.6695687		23	1		"Very important"	"Some PS"
"R_0lcEjdbAgMGzSRX"	"Quebec"	.5494294		42	0		"Not very important"	"BA"
"R_0oBfSihcMFl7iSt"	"Ontario"	.8110893		25	1		"Somewhat important"	"BA"
"R_0oGlANRmN8ULKXD"	"Quebec"	.4261902	0	66	1	1	"Not important at all"	"Some PS"
"R_0oVOMWCAeHbz173"	"Quebec"	.4317231	0	37	1	1	"Not very important"	"MA+"
"R_0p4Le02t7W4wfkt"	"Manitoba"	2.177652	1	60	0	0	"Very important"	"HS"
"R_0p9mB7e1sq0vow9"	"Ontario"	.8110893		22	1			"BA"
"R_0pLFT8WoigoKFlD"	"Alberta"	.3326543	1	77	0	0	"Very important"	"BA"
"R_0pMHipP1DGF33Vv"	"Quebec"	1.091722	1	34	1	1	"Very important"	"College"
"R_0pPZnGvgqXhbGAV"	"Alberta"	.3326543		66	0		"Somewhat important"	"BA"
"R_0pUcOUQuss58bnz"	"Alberta"	1.151093	1	66	1	0	"Very important"	"HS"
"R_0pm5lueJwxhgL7j"	"Quebec"	.5260664		26	1		"Not very important"	"BA"
"R_0pvjG5E7sch5d1n"	"Alberta"	.2613886	0	74	1	1	"Somewhat important"	"MA+"
"R_0q4mUE3EHcz7d4d"	"Ontario"	.4029644	0	75	0	1		"BA"
"R_0qF0WyBBXQcFFHH"	"Alberta"	3.079571	0	42	0	1		"HS"
"R_0qSaYnLD6fNLYs1"	"Ontario"	.8110893	1	20	1	0	"Very important"	"Some PS"
"R_0qbALWF00G9hohH"	"Ontario"	.6261567		57	0		"Somewhat important"	"Some PS"
"R_0qdcZFqOqbITnwJ"	"Ontario"	.6261567		63	0		"Somewhat important"	"BA"
"R_0qtzE07XYvesYEN"	"Ontario"	.8471103		43	0		"Very important"	"BA"
"R_0rETr4mQSjEWVnH"	"Quebec"	.8959352		46	1		"Somewhat important"	"College"
"R_0rGdZ8m0yqF9mPT"	"Ontario"	1.021052	0	59	1	1	"Not important at all"	"College"
"R_0uCJmJ8H5Nk4dep"	"Alberta"	.5169035	0	54	0	1	"Very important"	"BA"
"R_0uE2Eu0VKTXeLOV"	"British Columbia"	1.129198	0	24	0	1		"BA"
"R_0ufROPg2gaqEUqB"	"British Columbia"	1.116974	0	64	1	1	"Not very important"	"Some PS"
"R_0ujI873YWafWyLD"	"Quebec"	2.948296		23	0		"Somewhat important"	"HS"
"R_0un6v7j7bdUXBHH"	"Quebec"	1.40531		57	1		"Somewhat important"	"HS"
"R_0v2UKFUw0qhl5pD"	"British Columbia"	1.129198		24	0		"Not very important"	"BA"
"R_0v62WKncttu8sA9"	"Ontario"	.6860877	0	25		1	"Somewhat important"	"Some PS"
"R_0vTWYZkEJL4dYyd"	"British Columbia"	.7188306		68	1		"Somewhat important"	"College"
"R_0vqq1p47YrYshK9"	"Alberta"	.5169035		52	0			"BA"
"R_0vwtJCJcxB9Hju9"	"Alberta"	.54949	0	45	1	1		"BA"
"R_0vzecSzCbrSqZvb"	"Ontario"	.3166359	0	72	1	1	"Not important at all"	"MA+"
"R_0vzvp6VvFOy8LGF"	"Quebec"	.3191158	0	62	1	1		"BA"
"R_0w6XLNwvOha4NX3"	"Quebec"	.5260664		25	1			"BA"
"R_0w9TlxSIQHESrn3"	"Quebec"	.5494294	0	44	0	1	"Not important at all"	"BA"
"R_0wS5VnQRfeWzsFb"	"Quebec"	.4061206		63	0			"BA"
"R_0wbOaxs5J9duvHb"	"Nova Scotia"	.4468433	0	59	1	1		"Some PS"
"R_0wfGnMHidcaEt3z"	"Quebec"	.5494294		39	0		"Not very important"	"BA"
"R_0x3CZqPnvzTBn7X"	"Quebec"	1.013994	0	85	0	1	"Not very important"	"BA"
"R_0xDVF9G5HQl3Qrv"	"Ontario"	1.683217		26	1		"Very important"	"Some PS"
"R_0xFA9x2vYfB1HIR"	"British Columbia"	1.941269		72	0			"HS"
"R_0xFAu7sQGuycGhH"	"Quebec"	.4317231		40	1			"MA+"
"R_0xQ0q4SXAC5uvfP"	"Ontario"	.6261567	0	61	0	0	"Not important at all"	"MA+"
"R_0xQokLUG8bMrlKN"	"Ontario"	.6656307	0	45	1	1	"Not important at all"	"MA+"
"R_0xnW2PonzkooeMp"	"British Columbia"	.4408205	1	66	0	0	"Not very important"	"BA"
"R_10AVE10jymgA09z"	"Ontario"	1.394389	1	75	1	1		"HS"
"R_10AW015j9MsGoLZ"	"Quebec"	.5423879	0	67	0	1		"College"
"R_10AjWx9s9XgiRnT"	"Quebec"	.4261902	0	66	1	1	"Somewhat important"	"College"
"R_10AulMzRKj8PxzR"	"Quebec"	.8428035		51	0		"Not very important"	"Some PS"
"R_10B46qs7fGOQ42a"	"Manitoba"	.6405458	0	30	1	0		"BA"
"R_10BDyzlXWQq5JhP"	"Quebec"	.5494294		40	0		"Very important"	"BA"
"R_10Bqwsg3irIy5HD"	"British Columbia"	.6849803	0	51	0	1		"MA+"
"R_10Bscd3pg8sZeYe"	"Ontario"	.4920129	0	59	1	1		"BA"
