respid	cps21_province	cps21_weight_general_restricted	ban_abortion	age	female	urban	religion	education
"R_2ymvwzIAsYNQcNV"	"Ontario"	.8471103	0	43	0	1	"Not very important"	"MA+"
"R_2ymwGr4j149g3uj"	"Quebec"	.4061206	0	64	0	1	"Not very important"	"BA"
"R_2ypGVvuxVaCwdjd"	"Ontario"	.8471103	1	46	0	1	"Somewhat important"	"MA+"
"R_2ypfpffeVTV3TR8"	"Ontario"	.8110893	0	24	1	1	"Not very important"	"BA"
"R_2ypwL4LOn6mCFeo"	"Quebec"	1.389372		22	0		"Somewhat important"	"College"
"R_2yqGcaOE55fMF0E"	"Ontario"	.6571001		76	1		"Not very important"	"Some PS"
"R_2yqJQHodZoQPRuq"	"Ontario"	.4029644	1	73	0	1		"BA"
"R_2yqtia1uw5vRE0N"	"Quebec"	.5494294	0	49	0	1	"Not very important"	"MA+"
"R_2yrQq7ObFFP3JO2"	"Alberta"	.6695687		23	1		"Somewhat important"	"BA"
"R_2yrYCW9sDnLiuRJ"	"Alberta"	.5169035	0	61	0	1	"Somewhat important"	"BA"
"R_2yrexBdxHLKt0xr"	"Ontario"	2.166708	0	51	1	1		"HS"
"R_2yropYnozvNLKf2"	"Ontario"	.8471103	0	44	0	1	"Not very important"	"Some PS"
"R_2yrql1ifra9xb6w"	"Quebec"	.4261902		75	1		"Not important at all"	"College"
"R_2yrrIHBMzyw44n3"	"Ontario"	4.545682	0	19	0	1	"Not important at all"	"HS"
"R_2yryKwH7xxSfz5m"	"Alberta"	.8428965	0	61	1	0		"College"
"R_2yryh4TcJX7AaPh"	"Alberta"	4.939838	0	81	0	1	"Not important at all"	"HS"
"R_2ysIg7jJmtUzBhN"	"British Columbia"	.9266911	0	39	0	1	"Not important at all"	"BA"
"R_2z5u0EFgWhUlG4J"	"Ontario"	.6656307	0	39	1	1	"Not very important"	"BA"
"R_2z5zFGSdn2asY62"	"Ontario"	.6261567	0	61	0	1		"MA+"
"R_2z6HLi6l9G8ZjYh"	"Quebec"	.3191158	1	63	1	0	"Somewhat important"	"BA"
"R_2z6Mnur5AQtlvFg"	"Quebec"	.5423879	1	75	0	1	"Not very important"	"College"
"R_2z6YhbX2RHXms7A"	"Ontario"	1.032227	0	33	0	1	"Not very important"	"MA+"
"R_2z6jiLQ6Fv3DWEd"	"Ontario"	4.955875	0	82	0	0		"HS"
"R_2z6yR59wVyA88g5"	"Quebec"	2.419556	0	45	0	1	"Not very important"	"HS"
"R_2z78fRohmzSDEBb"	"Ontario"	3.571844	0	32	1	1		"HS"
"R_2z79rtvceb5gxRe"	"Ontario"	.3166359	0	69	1	1		"BA"
"R_2z7HMimNFbrGipx"	"Ontario"	.3166359	0	69	1	0	"Very important"	"BA"
"R_2z7KeCtSLDWR16N"	"Ontario"	1.683217	0	22	1	0		"College"
"R_2z7RWijNsCAzm2w"	"Quebec"	.4261902		66	1		"Somewhat important"	"Some PS"
"R_2z7Uk0sZhru9wIv"	"Ontario"	.6656307	1	47	1	1	"Somewhat important"	"BA"
"R_2z7aabQ5BYncupL"	"Quebec"	.6622466	0	52	1	0	"Not important at all"	"College"
"R_2z7qX17mkePm01w"	"Ontario"	.8362538		66	0			"Some PS"
"R_2z84r9N9mFos3Ob"	"Ontario"	.4920129		54	1		"Somewhat important"	"Some PS"
"R_2z8SeJw4PBRorwh"	"Alberta"	.54949	1	44	1	1	"Very important"	"BA"
"R_2z8SyGAuwEPIot1"	"Alberta"	.3326543	1	65	0	1	"Somewhat important"	"BA"
"R_2z8XjxngBafsPNG"	"Quebec"	1.150966	0	65	0	0	"Very important"	"HS"
"R_2z8wklLyZwIeENx"	"Nova Scotia"	1.180139	1	62	0	1		"College"
"R_2z92IeJnTs2hepB"	"Ontario"	.8471103		48	0		"Not very important"	"BA"
"R_2zA6GV4QgFUEcXh"	"Quebec"	.3191158		53	1		"Somewhat important"	"BA"
"R_2zAvqZ8KZIKyCW3"	"Quebec"	.5423879	0	74	0	0	"Not very important"	"College"
"R_2zBZ9fKlKBJ3bkz"	"New Brunswick"	.5571935	0	50	0	1	"Not important at all"	"BA"
"R_2zBeqmdAavfBaju"	"Ontario"	.8362538	0	68	0	1	"Not very important"	"College"
"R_2zBfYIde6iwq7FN"	"Ontario"	.6656307	0	41	1	1	"Very important"	"BA"
"R_2zC2dDnWA1XdjEY"	"Ontario"	1.757969		41	0		"Somewhat important"	"College"
"R_2zCFOrQKK9YNaMO"	"Alberta"	.6993046	0	35	0	1		"BA"
"R_2zCNnpgav4D5TYO"	"Ontario"	.8362538		66	0		"Not very important"	"College"
"R_2zCrBBqcu4bYAuE"	"Quebec"	.6622466	0	55	1	1	"Somewhat important"	"Some PS"
"R_2zCrpMTUrYrZD5j"	"Quebec"	.8959352	1	40	1	0	"Not very important"	"College"
"R_2zDctI79LAFm7ha"	"Alberta"	.54949	0	41	1	1	"Not important at all"	"MA+"
"R_2zDd5X5BBX6xhLI"	"Newfoundland and Labrador"	.6204907	0	53	1	1	"Very important"	"MA+"
"R_2zFImVPMHRDYElA"	"Ontario"	.4029644	1	72	0	0	"Somewhat important"	"BA"
"R_2zG5SNiGHHxKpbF"	"Alberta"	.8428965	0	53	1	0		"Some PS"
"R_2zGAS8Dz9Sw4fxl"	"Quebec"	.9043904	1	72	1	1	"Not very important"	"HS"
"R_2zGdmJIgr3oWGuP"	"Ontario"	.4920129	1	59	1	1	"Very important"	"Some PS"
"R_2zGy6seJSiUc2h8"	"Quebec"	.5494294	0	49	0	0		"Some PS"
"R_2zHcRJV98ryEtad"	"Ontario"	1.021052	0	52	1	1		"College"
"R_2zHdXFdVLhVClZ8"	"Alberta"	.4061654	1	64	1	1	"Very important"	"Some PS"
"R_2zHe1WX9zLFQrUc"	"Quebec"	1.788458	0	64	0	1	"Not important at all"	"HS"
"R_2zHgcXGzuChujU3"	"Quebec"	.8428035		59	0		"Very important"	"Some PS"
"R_2zHiFRDVQK67bQn"	"Quebec"	.4317231	0	36	1	1		"MA+"
"R_2zHk2SMR1GbJuPx"	"Manitoba"	1.711125	1	59	1	1	"Somewhat important"	"HS"
"R_2zIOo4nq83d5HXa"	"Quebec"	1.40531		64	1		"Not important at all"	"HS"
"R_2zIOsIFyxBht3mf"	"Ontario"	3.730472	0	41	0	0	"Not important at all"	"HS"
"R_2zJ8HW1K23SqYPR"	"Alberta"	.8428965		62	1			"College"
"R_2zJceIr00JSXuGD"	"Alberta"	1.451235		40	0		"Very important"	"College"
"R_2zMGaWJhUF0exC3"	"Ontario"	.6656307	1	38	1	1	"Very important"	"MA+"
"R_2zMVwCMQd3h2nz5"	"Quebec"	.2053677		74	1		"Somewhat important"	"MA+"
"R_2zMWaQ0Zb0iaTV9"	"Alberta"	.54949	0	37	1	1	"Very important"	"MA+"
"R_2zMaAkMsCzf3Z1d"	"Ontario"	.3166359	0	70	1	1	"Somewhat important"	"BA"
"R_2zMiQfiMk7BVBM8"	"Alberta"	.3326543	1	65	0	1	"Not very important"	"Some PS"
"R_2zMxxBy8AZiQSff"	"Ontario"	.4029644	0	77	0	1	"Somewhat important"	"BA"
"R_2zNHcVIgfV2rfRZ"	"Ontario"	.6656307		40	1		"Not very important"	"MA+"
"R_2zNQrrvutopWsX9"	"British Columbia"	1.116974	0	59	1	1		"College"
"R_2zO1SCThJCwuQwj"	"Manitoba"	.3182352		72	0		"Very important"	"BA"
"R_2zOSUIoAMUcUhas"	"Ontario"	1.683217	0	31	1	1	"Not very important"	"College"
"R_2zOVjveW9qFzvNa"	"Saskatchewan"	1.553109	1	36	1	0	"Very important"	"College"
"R_2zOY1Z9oZViZu6k"	"British Columbia"	.8872862		34	1		"Very important"	"MA+"
"R_2zOzBeQJnR2xByq"	"Quebec"	.4061206	0	59	0	1	"Somewhat important"	"BA"
"R_2zP8mw9mjvRxEFd"	"British Columbia"	.8872862	0	21	1	1	"Somewhat important"	"Some PS"
"R_2zP8sBCwL8LM3Ox"	"Manitoba"	.3182352	1	78	0	1	"Very important"	"Some PS"
"R_2zPkEolh1aHVlPg"	"Quebec"	.8959352	0	48	1	1		"Some PS"
"R_2zRMiCnEyIb8iz5"	"Ontario"	.8426764		39	1			
"R_2zSbGgAk1Cio4Pm"	"Alberta"	2.419823	0	43	1	1	"Not very important"	"HS"
"R_2zSg8qhlEPApZEk"	"Ontario"	.4029644		77	0			"BA"
"R_2zShoiYCQeSaMst"	"Ontario"	1.683217	0	29	1	1	"Very important"	"College"
"R_2zTOiTgPbp4CSfy"	"Quebec"	.3191158	0	56	1	1	"Not important at all"	"Some PS"
"R_2zU4DtOgGfHaqlk"	"Quebec"	1.091722	0	33	1	0	"Very important"	"Some PS"
"R_2zU8SIH4Z42uW3x"	"Ontario"	2.757445	0	60	0	1	"Not important at all"	"HS"
"R_2zUV9VxQ2TE0zeL"	"Quebec"	1.140206	0	45	0	1		"College"
"R_2zUVaxP3UR7nDWF"	"Ontario"	2.757445	0	58	0	1	"Somewhat important"	"HS"
"R_2zUVlcKiK036HCW"	"Quebec"	.8428035	0	63	0	0	"Not important at all"	"College"
"R_2zUf1zDU6X3SDpv"	"Alberta"	.3326543	0	71	0	1	"Somewhat important"	"MA+"
"R_2zUffjPS9k8y5gr"	"Quebec"	.8428035	0	56	0	1		"Some PS"
"R_2zUxLbXcukcA6si"	"Ontario"	1.683217	0	19	1	1		"Some PS"
"R_2zViYUvWOp8shbE"	"Nova Scotia"	.9374629	0	34	0	1	"Not important at all"	"BA"
"R_2zXPFCl4dAwCOIu"	"Ontario"	3.244403	0	80	0	1	"Very important"	"Some PS"
"R_2zY0FIENoLJH7GW"	"Quebec"	.6622466	0	62	1	1	"Not very important"	"Some PS"
"R_2zYGtsPzsCZrdSe"	"Quebec"	.2053677	0	68	1	0	"Somewhat important"	"MA+"
"R_2zYh5StJP3Xel9p"	"Alberta"	1.140332	0	48	1	0		"Some PS"
"R_2zZ0LqAuvS3aMhT"	"Ontario"	.3166359	0	72	1	1	"Not very important"	"BA"
"R_2zZ3CDERaX6hFlK"	"Quebec"	.5423879	0	67	0	1	"Not important at all"	"College"
"R_2zZIvrgWJ0TEM47"	"Nova Scotia"	1.266376	1	70	1	1	"Somewhat important"	"HS"
"R_2zZTJTg0hnqp4bI"	"Quebec"	.4061206	0	51	0	1	"Not very important"	"MA+"
"R_2zZUo0TAIqfkUQq"	"Quebec"	.4261902	0	79	1	1	"Not very important"	"College"
"R_2zZaniJM5ef1ge2"	"Ontario"	.8471103		43	0		"Not very important"	"Some PS"
"R_2zZnVbQnERplPSb"	"Saskatchewan"	1.567766		66	1			"Less than HS"
"R_2zZsexxSvoBiCPV"	"Quebec"	1.091722		21	1			"Some PS"
"R_2zZvkBE2qTpYIgS"	"Quebec"	.4317231	0	37	1	0		"MA+"
"R_2zbTylPA0jsheI3"	"Ontario"	2.166708		58	1		"Not very important"	"HS"
"R_2zbWReY7PKcxpwt"	"Ontario"	1.021052	0	63	1	0	"Not very important"	"College"
"R_2zcGFSDrL7rAIr5"	"Alberta"	.4061654	1	58	1	1	"Not important at all"	"BA"
"R_2zcNs1vqAWijvoL"	"Ontario"	.4920129		59	1			"MA+"
"R_2zchracSfJ64O7j"	"Quebec"	.6622466	0	64	1	1	"Not very important"	"College"
"R_2zckgfTWK4X9Yew"	"Ontario"	.6261567	1	55	0	1		"BA"
"R_2zdKbmye31IVjlA"	"British Columbia"	.6849803		52	0			"BA"
"R_2zdO7DjtcXrgCrw"	"Ontario"	2.931279	0	40	1	0	"Not very important"	"HS"
"R_2zdaN3N7HLVde0R"	"Nova Scotia"	1.180139		63	0		"Somewhat important"	"College"
"R_2zdwVBmXhwVtezc"	"Ontario"	.6571001		71	1		"Very important"	"Some PS"
"R_2ze958izig85Sny"	"Ontario"	.6571001		75	1		"Not very important"	"College"
"R_2zeIBosDVyLZz0Y"	"Quebec"	.6694947	0	29	0	1		"BA"
"R_2zeTtdWit2CuIth"	"Ontario"	.6261567		51	0		"Not very important"	"BA"
"R_2zeZwbQsZ5l6Dks"	"Alberta"	.8521218	0	25	0	1		"BA"
"R_2zeaagbYnnvy9Z9"	"Ontario"	.6261567	0	61	0	0	"Not important at all"	"BA"
"R_2zejrZqETfO3oXN"	"Quebec"	.2613597	0	77	0	1		"BA"
"R_2zezpIEV4I2B3eh"	"Quebec"	.4061206	0	51	0	1	"Somewhat important"	"BA"
"R_2zf352tUC1g4Uam"	"Ontario"	.4029644	0	71	0	1	"Somewhat important"	"BA"
"R_2zhCaiY1wmubTRA"	"Manitoba"	2.820812	1	21	1	0	"Very important"	"HS"
"R_2zhCqaqOFeHFOTs"	"British Columbia"	1.841344	0	28	1	1		"College"
"R_2zhVCz29fbKsKf5"	"Ontario"	.4920129	0	52	1	1		"MA+"
"R_2ziISjjS6maBEQy"	"Ontario"	.3166359		67	1		"Somewhat important"	"BA"
"R_2zihpGfMWXYmadR"	"Alberta"	2.27632	1	51	0	0	"Not very important"	"HS"
"R_2zj7LfwMVxr9Txv"	"British Columbia"	.8872862	0	31	1	1		"BA"
"R_2zjOArwyPm5EyBJ"	"Ontario"	.6261567	0	64	0	1	"Not important at all"	"Some PS"
"R_2zjQQhmu9fN3895"	"Quebec"	.5494294	0	45	0	0	"Not very important"	"BA"
"R_2zjdCokOSUos4L8"	"Saskatchewan"	.7388032	1	76	1	0	"Very important"	"College"
"R_2zjpBOg34Kkpq62"	"Quebec"	.2613597		69	0		"Somewhat important"	"Some PS"
"R_2zjtM4NWocoEiMr"	"British Columbia"	.3463819	0	66	1	0	"Somewhat important"	"BA"
"R_2zk9Zsfk6jUePXi"	"Ontario"	.8471103		42	0		"Very important"	"Some PS"
"R_2zkAKPn3xEHtkDL"	"Ontario"	.6571001	0	74	1	0	"Very important"	"College"
"R_2zkFqFyUXBlPUff"	"New Brunswick"	1.497832	0	26	1	0	"Very important"	"College"
"R_2zkUZ2rC5iVsZ2v"	"Ontario"	2.931279	0	42	1	1	"Not very important"	"HS"
"R_2zkn7BhwIqIE0Ol"	"Saskatchewan"	.9119394		21	1			"Some PS"
"R_2zknvI1htBK0fkY"	"Ontario"	1.299434		53	0		"Not important at all"	"College"
"R_2zknvrDfTKFfoRL"	"Ontario"	1.306781	0	23	0	1		
"R_2znAoFx56xC3bcZ"	"Ontario"	1.77456	0	77	0	1	"Somewhat important"	"HS"
"R_2znFXtIKwBOuaJK"	"Ontario"	1.563376		83	0			"Some PS"
"R_2znHTeMZN6Squ2L"	"Quebec"	.6622466	0	52	1	1		"College"
"R_2zo7T9w9KRYOttJ"	"Alberta"	.3326543	0	74	0	1	"Not very important"	"MA+"
"R_2zo823BXsmJFy97"	"Ontario"	.6656307	0	39	1	1		"BA"
"R_2zoM1nGoA881ZyA"	"Quebec"	2.948296		21	0			"HS"
"R_2zoSMSF6OolVQZt"	"Quebec"	.8959352		49	1			"College"
"R_2zopZC4VoPIHmbV"	"Manitoba"	.6689928	1	35	0	1	"Somewhat important"	"BA"
"R_2zp7I1N2qZevtka"	"Ontario"	3.571844		19	1		"Somewhat important"	"HS"
"R_2zp8NsU4fqSWe5s"	"Ontario"	.4920129		58	1		"Somewhat important"	"BA"
"R_2zpQK7P2z9VPrdu"	"Ontario"	.6261567	1	62	0	0	"Very important"	"MA+"
"R_2zpTOZWRmtnpRXh"	"Ontario"	3.730472	1	47	0	1	"Very important"	"HS"
"R_2zpabBDQADXb7lh"	"Quebec"	2.948296		18	0			"HS"
"R_2zpg7nMTS5B4yRE"	"Quebec"	1.40531		58	1		"Somewhat important"	"HS"
"R_2zpykaU5yl4m82e"	"Ontario"	1.032227		31	0		"Very important"	"BA"
"R_2zq2lFsNPMGR4Xg"	"Nova Scotia"	.3659701		68	0		"Very important"	"BA"
"R_2zqBWLLznRtp54f"	"British Columbia"	1.525384	0	65	1	1	"Somewhat important"	"HS"
"R_2zqq2qT344gM3pW"	"Ontario"	.3166359		67	1		"Not very important"	"BA"
"R_2zu86xKKmXXQrIk"	"Quebec"	1.150966		71	0		"Not very important"	"HS"
"R_2zubk8HEdjeSgWK"	"Ontario"	.4920129	0	55	1	1	"Not very important"	"BA"
"R_2zv770No4r4DeI2"	"Quebec"	.6622466		59	1		"Not important at all"	"Some PS"
"R_2zvB28prcSaGbUx"	"Alberta"	1.464931	0	67	0	1	"Not very important"	"HS"
"R_2zvSHv1TUY9L3OF"	"Ontario"	.6261567	1	62	0	1		"BA"
"R_2zvZuA4xdsgpBl4"	"Manitoba"	.494498	1	60	0	1	"Somewhat important"	"BA"
"R_2zvdrvKfcURLAYh"	"Ontario"	.8110893	0	31	1	1		"MA+"
"R_2zveUOCOWwg27dO"	"Ontario"	.6656307	0	35	1	1	"Not very important"	"BA"
"R_2zvhEiCMp5fpFSa"	"Quebec"	.5494294		44	0			"MA+"
"R_2zviMBo5udlDxox"	"Quebec"	.3191158	0	56	1	1	"Somewhat important"	"BA"
"R_2zviMbijQC6cU8H"	"Quebec"	.6694947	0	23	0	1		"BA"
"R_2zvjymK5HnFgsCQ"	"British Columbia"	.6849803	1	51	0	1	"Not very important"	"BA"
"R_2zwLWYCKpZ2CDhD"	"Quebec"	.4061206	0	51	0	1	"Not important at all"	"MA+"
"R_2zwQqWizUX7CgmG"	"Ontario"	.4920129		57	1		"Not very important"	"MA+"
"R_2zwnmASW0qiEvHR"	"British Columbia"	1.841344	0	28	1	1	"Not very important"	"Some PS"
"R_2zx4U7VW4tuipHR"	"British Columbia"	.6849803	1	58	0	0	"Somewhat important"	"Some PS"
"R_2zx5auYpEboxThF"	"British Columbia"	.9148147	0	73	0	1		"Some PS"
"R_2zxcvgYgk2m7wKm"	"Ontario"	1.563376	0	83	0	1	"Not very important"	"Some PS"
"R_2zzIEQ4s6HOTxKV"	"New Brunswick"	.4378239	0	56	1	0		"MA+"
"R_3005iNalM8kXij2"	"Alberta"	.6993046	0	35	0	1	"Somewhat important"	"BA"
"R_3016frsjHrjMkyj"	"Alberta"	.5169035	0	51	0	1	"Somewhat important"	"BA"
"R_30173tE44cuJnnU"	"Ontario"	.8471103		38	0		"Somewhat important"	"MA+"
"R_301BHseXmChA0cU"	"Ontario"	.4920129	1	50	1	1	"Very important"	"MA+"
"R_301U7B4WnwZaslm"	"Ontario"	.8110893		29	1		"Not very important"	"MA+"
"R_301bmnEXNsPJ0Or"	"British Columbia"	3.206655	1	40	1	0	"Very important"	"HS"
"R_301q6RWRzyGmfeP"	"Ontario"	.4029644	0	73	0	1	"Very important"	"MA+"
"R_301qikxA4R3r1J9"	"Quebec"	.3191158	0	60	1	1	"Not very important"	"BA"
"R_301wAuKui7ztODC"	"Manitoba"	.3885599	0	60	1	1	"Not very important"	"BA"
"R_301wwVFXheA4B0E"	"Saskatchewan"	1.567766	0	66	1	1	"Somewhat important"	"HS"
"R_302IxeEY80ub2i9"	"Ontario"	.3166359		74	1		"Not very important"	"BA"
"R_302KmMTO122pvHi"	"Quebec"	1.091722	0	18	1	0		"Some PS"
"R_302a06Eqt3PDzlg"	"Ontario"	.8110893		24	1		"Very important"	"BA"
"R_3030mAX7Lhr77nX"	"Quebec"	.6622466		56	1		"Not important at all"	"College"
"R_305FB97iHWmgmbn"	"Quebec"	.8428035		52	0		"Somewhat important"	"Some PS"
"R_305KecBwy1i7Ogd"	"Alberta"	.2613886		77	1		"Very important"	"BA"
"R_305VQyL8is8KL0V"	"Nova Scotia"	1.254537	0	43	1	1	"Somewhat important"	"College"
"R_30691v1O6P1PJre"	"Ontario"	.4029644	0	75	0	0		"MA+"
"R_306MTdtnYqP7UOs"	"Quebec"	.2053677	0	74	1	1	"Not very important"	"MA+"
"R_306MlApZ5JtjSlH"	"Alberta"	.6695687		31	1			"Some PS"
"R_306s3NaKC3QjPuJ"	"Alberta"	.3326543	1	79	0	1	"Very important"	"MA+"
"R_306tkDxZ8L3oTxQ"	"Quebec"	.8428035		64	0		"Not important at all"	"College"
"R_3078GdTqV2c9TLK"	"Quebec"	.4261902	0	70	1	1	"Not very important"	"College"
"R_307CkDJgmI75WXg"	"British Columbia"	2.343374		31	0			"College"
"R_307DjVlr7n9eNr6"	"Quebec"	.4061206	0	54	0	0	"Somewhat important"	"BA"
"R_307UVvDJXlPal8g"	"Alberta"	1.151093	0	74	1	0		"HS"
"R_307bgshXgjtMnWt"	"Ontario"	1.563376	0	81	0	1	"Very important"	"Some PS"
"R_307rV8Wm4LZtS8B"	"Quebec"	1.788458	0	63	0	1	"Not very important"	"HS"
"R_307uUvmlmhcIi6P"	"Alberta"	1.290595	0	82	0	1	"Somewhat important"	"Some PS"
"R_30811M9x43oMeMK"	"British Columbia"	2.343374	0	26	0	1	"Somewhat important"	"College"
"R_308H14DkjHEOR9D"	"Ontario"	.6656307	0	41	1	1		"BA"
"R_308Z2CSRNfZG8sg"	"Ontario"	.4029644	0	65	0	1	"Not important at all"	"Some PS"
"R_308dyTelwVCT9ka"	"Alberta"	.8521218	1	30	0	1	"Not very important"	"MA+"
"R_308nUr9SnOoDANy"	"Ontario"	.8471103		38	0		"Not very important"	"BA"
"R_3090dFvLBYioBXs"	"Ontario"	2.931279		49	1		"Very important"	"HS"
"R_3090uZ7QxShmXkn"	"Alberta"	.2613886	0	67	1	0	"Not very important"	"BA"
"R_3094JxaE2oJbiQS"	"Ontario"	.8362538		73	0		"Somewhat important"	"College"
"R_30964BYE4xiOu9x"	"British Columbia"	.4408205	0	68	0	1		"BA"
"R_30bJJdlug5CqaVv"	"Quebec"	1.140206	0	46	0	1	"Not important at all"	"College"
"R_30bLQP87GLv19RJ"	"Alberta"	.2613886	0	74	1	1		"MA+"
"R_30bOlpeOmNGcmFM"	"Alberta"	.4061654	0	50	1	1	"Very important"	"BA"
"R_30bYvpf6o34p3Rk"	"Ontario"	.4029644	0	69	0	1	"Not very important"	"BA"
"R_30c5BThoNpD7OeT"	"Alberta"	.4061654	1	51	1	1	"Very important"	"BA"
"R_30c63U3LHCyqL8T"	"Alberta"	.6903424	0	71	0	0	"Not important at all"	"College"
"R_30cRTImDiCAOXXh"	"Alberta"	.6903424	0	68	0	0	"Not important at all"	"Some PS"
"R_30cWtBptcYhESNs"	"Ontario"	.6261567	0	60	0	0	"Somewhat important"	"BA"
"R_30dF1sF48gcpJnH"	"Ontario"	.8110893	0	24	1	1		"BA"
"R_30dGvfHLfqwu7NR"	"Alberta"	.6903424	1	67	0	1	"Somewhat important"	"College"
"R_30dUoLd6LGJFBE4"	"British Columbia"	.9266911	0	48	0	0		"BA"
"R_30dhmFLvh1J8mz3"	"Quebec"	.2053677	0	67	1	1	"Not very important"	"BA"
"R_30diK2est5usMR1"	"Quebec"	.8959352	0	41	1	0		"College"
"R_30e4DcRfgujGQW5"	"Quebec"	.2053677	0	68	1	1	"Not important at all"	"BA"
"R_30eDSQ6ueD3FwBo"	"Ontario"	2.757445	0	56	0	0		"HS"
"R_30eF96lhwzZFD8A"	"Quebec"	.6694947	0	32	0	1	"Not important at all"	"MA+"
"R_30eo82rnrhkpI7A"	"Quebec"	.5494294	0	45	0	1		"BA"
"R_30eppzmtp3oUseO"	"Quebec"	1.901206	0	35	1	1		"Less than HS"
"R_30f0aUGJYQMDD1O"	"Manitoba"	1.329296		20	1			"Some PS"
"R_30f9hCAUgaHPRGJ"	"Manitoba"	1.026209		64	0		"Somewhat important"	"College"
"R_30hHf3J1NsBkaSA"	"Quebec"	.8959352		41	1			"College"
"R_30hJCRTFpz02uRK"	"Ontario"	.8362538	1	67	0	1	"Very important"	"College"
"R_30hPLarJrHWX17Y"	"Ontario"	.6261567		50	0			"MA+"
"R_30i4v93pzp7NH07"	"New Brunswick"	.4378239		58	1		"Somewhat important"	"BA"
"R_30iMEwp1TT5AXmJ"	"Alberta"	1.151093	1	65	1	0	"Somewhat important"	"HS"
"R_30iOWHy0Ym9oXvs"	"Ontario"	.4920129	0	57	1	1	"Very important"	"MA+"
"R_30iVc36dnCuBAyy"	"Ontario"	.6656307	1	39	1	1	"Very important"	"MA+"
"R_30jE7sjX26zOHgd"	"Alberta"	.2729196	0	19		1	"Not important at all"	"Some PS"
"R_30jIGEIJ7tOYcqd"	"Quebec"	.5423879		69	0		"Not very important"	"Some PS"
"R_30jYFwlprcszXrf"	"Ontario"	.8110893	0	27	1	1	"Somewhat important"	"MA+"
"R_30jaKVxneGHUKPX"	"Ontario"	1.683217		30	1			"College"
"R_30jcUEquvSdg6uM"	"Ontario"	4.545682	1	22	0	1		"HS"
"R_30jkZFzvlhwikJ2"	"Quebec"	.4061206	0	55	0	1		"MA+"
"R_30k5aq6VQNKBif3"	"British Columbia"	.6849803	0	63	0	1	"Somewhat important"	"Some PS"
"R_30k6tkvOywhmViU"	"Alberta"	.4061654	1	55	1	1	"Somewhat important"	"BA"
"R_30k7yBu0eSVAVxk"	"Quebec"	.3191158	0	50	1	1		"Some PS"
"R_30kN6aUvZKlLt8R"	"Alberta"	1.389525		28	1		"Not important at all"	"Some PS"
"R_30kv9BWcnqLNkKS"	"Ontario"	1.032227	0	22	0	1	"Somewhat important"	"Some PS"
"R_30nGVgcSkvqsjG8"	"Quebec"	.3191158	0	52	1	1	"Very important"	"BA"
"R_30nNY0adyV3C9dG"	"Alberta"	.2613886		76	1		"Somewhat important"	"BA"
"R_30o5P4EXAYCwmDK"	"Saskatchewan"	.5531893	0	62	1	1	"Not very important"	"BA"
"R_30oEAd9IXC6NCeN"	"British Columbia"	1.941269	0	67	0	0		"HS"
"R_30oULh1cVcVrpk7"	"Quebec"	.4261902	0	76	1	1	"Not very important"	"Some PS"
"R_30oYSfk6vbsTu58"	"Ontario"	.6656307		41	1		"Very important"	"BA"
"R_30ot8vnuBSS6Gxr"	"British Columbia"	3.206655		35	1			"HS"
"R_30ovV33XdR9lUgB"	"Quebec"	.6622466	0	59	1	1	"Somewhat important"	"College"
"R_30oytRZZasLgVuv"	"Alberta"	.54949		46	1			"MA+"
"R_30oyx6iiemcOsbk"	"Quebec"	.5494294		49	0		"Not important at all"	"BA"
"R_30pLKabi3Gs3zw5"	"Alberta"	1.140332		37	1		"Somewhat important"	"Some PS"
"R_30q1t4uYMoJvKSE"	"British Columbia"	.4408205		68	0		"Somewhat important"	"MA+"
"R_30qVcWjxoTQ69jj"	"Ontario"	1.381353	0	38	1	1		"College"
"R_30qm9gdO8jwlg9Y"	"Quebec"	1.788458	1	50	0	1	"Not very important"	"HS"
"R_30qn8SFyusfH2Ah"	"British Columbia"	1.116974	0	52	1	0		"College"
"R_30qw3UCrDoUwAqn"	"Ontario"	.4029644	0	75	0	0	"Not important at all"	"BA"
"R_30tTf7G8kwsgV8r"	"Ontario"	1.032227		21	0		"Somewhat important"	"Some PS"
"R_30u9xaLccQvnSxk"	"Quebec"	.2613597		71	0		"Somewhat important"	"Some PS"
"R_30uHdlALh045C5S"	"Quebec"	.4317231		46	1		"Not important at all"	"BA"
"R_30v4wJsHyk5ZITj"	"Ontario"	.3166359	0	71	1	0	"Not very important"	"Some PS"
"R_30vCVBZiqANZRpR"	"New Brunswick"	1.497832	0	26	1	1		"College"
"R_30vfap8Q0PFeWfD"	"Ontario"	.6571001	0	73	1	1	"Somewhat important"	"College"
"R_30vilRnT1WzjDwd"	"Ontario"	.4029644		66	0		"Very important"	"MA+"
"R_30wPnteodnr03ZY"	"Quebec"	.5260664	0	23	1	0		"Some PS"
"R_30wQH9RluH7fRJe"	"Quebec"	1.150966		74	0			"HS"
"R_30wXHNocs34CfAn"	"Ontario"	1.299434	0	55	0	0		"College"
"R_30wyXIdhXNlVgRm"	"Quebec"	.2053677	0	70	1	1	"Somewhat important"	"MA+"
"R_30xfebVDaicbgK6"	"Quebec"	.6622466	0	50	1	0	"Somewhat important"	"College"
"R_30xhdIdvNJN02fr"	"Ontario"	1.021052		51	1		"Somewhat important"	"College"
